Pathway	Kingdom	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
M00001	k__Bacteria	799.2580367953	3532.2806583451	1366.7407602062	2310.2874583288	3519.3471470813	944.3814862638	2233.0764987148	2901.9605696152	3008.6572962105	3181.7477222726	2598.0934773682	3484.3500846859	1916.4393494886	590.3932484314	994.9848602437	1059.7045671388	2432.1843290264	2542.6422405651	1028.275197276	2773.6287747332	577.7908403923	7425.6731726654	389.8779676736	2966.7871158847	1228.3496623405	568.0595544324	698.3839437202	408.6152701396	461.8789525338	598.4605518078	2139.21960316	973.564468812	1072.1642373185	1520.8711668374	1019.8048143181	1945.2547629779	3599.1738505402	1710.94291488	1497.1814634726	968.8040955461	2438.3990633354	1160.9254660465	715.8088997752	3440.5118029791	2408.9097091741	2375.1037437733	352.0969871075	1585.0041355387	2426.7005042902	4250.2541442398	1679.4553164697	4339.6718519147	953.3018936689	1271.015919855	6772.9223642433	1324.1876511312	2895.4080543679	2045.1969593134	4556.364600909	2688.6449714577	5565.3603744297	3318.5420331622	3465.2348921226	1239.7496553211	3249.2354668029	772.4254433235	1292.7124828905	2581.409844862	5118.9327135424	3483.3596423372	4136.446837227	3132.0743871276	3088.0690204669	2928.5514217069	1350.4979727756	1904.1296211627	2960.1424517212	3293.3183923658	801.97152311	5008.7664941488	1598.3693226401	1725.6813067796	2266.3042351035	1596.0348449434	1602.270911675	2054.7947548091	1513.4540940536	682.396644129	2759.839479884	4606.9967503801	4995.3719720906	4490.4519435585	1123.350106545	2926.378949295	2518.7197815294	3075.9865404014	1324.4911176709	6104.0144003976	730.4882464104	1669.2708625058	1033.7363801951	1504.0527723012	1735.3855229234	1062.2482621851	484.1051797437	3931.7155379413	3719.381525089	1073.8830455717	1610.5775509942	1207.6478914465	683.2477163339	403.1140754884	403.8486311517	297.6449708576	2696.093206701	498.6603181881	3528.412570083	220.0443507689	558.7007175349	929.3634135663	833.8836402722	2134.5871102479	4183.7167854947	361.9914397089	3246.9632910154	4916.1225042486	4245.237120055	838.8726811026	2797.5213909459	1480.6792111413	1562.0787072412	1911.4033167675	2492.8180020338	1023.0264462242	2608.8165858661	2861.1495461902	1488.6971537814	1860.0146729601	2013.581708226	3307.2543415329	4239.6049170284	2693.0033325777	4459.6379111071	2277.8565200877	1693.5487341451	5426.8412815641	3277.3386483283	2312.281748592	2856.1783691743	1622.7434497388	1474.9239690475	2364.3994322471	2730.8104265905	1755.3388922375	1327.3406874122	1505.8524176201	1067.2740207651	2784.2592972948	607.1177853369	803.3894525648	1356.1695707935	377.130093378	130.4909260467	115.1401248176	524.0310789122	1932.6784108475	545.3598481104	684.6492504813	1029.0934984234	3021.6879240233	1059.2268841521	3570.797988262	3089.8756490955	138.2375164262	157.4725613082	5974.7719033038	4428.4685456448	5502.2780292062	6608.9670319392	3566.3824524529	1825.2895970326	3917.9983944218
M00001	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2830722994	0	0	0	0	0	0	0	0	0	0	8.6266989148	0	0	0	0	0	0	0	3.5862425581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2308.6123262274	0	67.0863650858	0	3.1664662221	0	0	48.8363789264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.9561817947	0	0	0	0	0	0	0	0	0	0	0	2.6785241785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.524738448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00002	k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2706311152	0	23.293804389	37.2773656833	0	0	0	0	0	0	0
M00002	k__Bacteria	1268.1672754332	3978.0008623242	1660.5653287379	2798.0433288921	4348.775804855	6823.6631488256	2637.6602284754	3685.7857289999	4792.9943024966	3559.6344545953	3691.8555248359	4102.7357886192	1280.0774434966	140.7217109082	1061.968907586	710.9363243543	3850.0035888955	5231.8427565027	1470.5109773652	6254.2009164184	736.3936476771	9699.1461154034	292.5145280076	1382.3488751137	593.4290654331	5049.4553452184	4142.8022806375	205.5278089234	319.5986895549	396.0823421672	2985.6233310623	1345.5458190146	1910.5703731925	1189.8862869483	1045.2814769191	1916.8687904639	3937.5993499272	2687.1762040992	1919.9980020466	1032.631846817	3616.8968389617	1743.6514306434	1000.8265398437	4034.1634276317	10220.2111016335	2546.1520613645	68.1560873967	2044.7245684497	5022.0821366571	6895.5334802033	1746.4606825527	5780.0767510825	1015.1699864244	1251.9579453977	6671.6240875138	1602.1581568808	4040.4737347524	2629.4952569117	5526.9658858048	3395.5895499392	8104.5372244122	3418.0776814846	4284.5232359766	2122.8961749874	3741.5375239743	1122.5346644805	1000.2830638413	2877.7703033885	5783.8396981715	3850.3954274435	5671.1881182101	3619.049432548	3833.9510117141	3602.1852107209	1820.6009085317	2020.2368227932	3047.2717345749	3302.601742155	517.7378587361	2078.6884025712	2220.7946287067	1886.6626674236	2930.1247693222	2032.6806243416	2139.5232784099	2642.573498675	1218.3807409378	1289.060370082	3265.6030243326	5598.8242306846	5348.7937653381	5725.4371679309	485.5809133318	3384.0684939871	2546.4157143139	3139.5997337294	515.1253649678	7189.436468702	263.331191132	985.0071732655	352.6899670269	160.2049817345	574.283890756	1098.1629645773	775.6394834471	4073.0770302952	4357.4221894125	202.2347975777	715.2579203015	1382.1778692908	188.5031564366	341.9392390849	299.8355929971	428.8113540813	642.6471180842	556.5635089164	4291.5654577138	397.7578831363	823.4275381963	960.9154537574	400.0007483854	2298.6664194742	4774.8945662015	800.801969901	3614.0063432748	5372.5971921188	4233.8128894882	431.077800998	13301.8450841262	1957.1567616298	1782.2223539495	1986.5697465955	1788.1828646521	1283.1711626284	1618.3446131915	3385.4632144898	1086.04602328	1983.3415785002	2440.5737064036	8302.3233101109	6790.0031915109	5125.9254140429	6986.1459249919	2549.6567786763	712.8386062519	8360.1557055222	5174.7672747165	4235.8538384027	3844.8690360488	1799.2679158343	2993.8041558672	2599.388475688	3679.7902591919	2026.789315824	1747.6075969504	1749.6276110792	767.2553410605	3402.5228018987	700.7070581594	234.1581364111	2878.898797282	324.8064845685	338.4102811686	426.892443209	289.7502493888	1880.5140373241	508.0887176871	426.3569201165	685.4608682345	2964.8144666894	741.3797833469	6875.5437126497	5536.970167252	101.4135784078	144.2206632087	6884.5172950448	6086.4312436707	7509.6834161813	9935.5007404798	3953.2773956309	2417.7831783579	3860.6978331347
M00002	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0778640519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9905071002	0	2760.1740389421	0	68.1088627714	0	0	0	0	60.169895578	0	0	0	0	0	0	0	0	1.4493508766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0099830862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00003	k__Bacteria	350.1984499621	568.2165120739	767.6095681868	715.9902228799	578.7127997244	4306.9072768433	577.2968260398	423.8879983743	44.5349352348	625.578851071	1103.0993162099	1882.9471612962	549.8217783998	311.4070992919	835.6870198334	674.1913226925	405.1611102916	312.0382125086	331.7863645505	453.8774176094	295.8143000806	1615.5148678818	261.563307482	1195.7260330663	0	124.0585869326	40.615862034	204.7145269717	188.1093015172	406.0958029136	940.8479745773	1181.5353753259	1614.2671714523	1365.3921834434	1081.8505985442	94.7632875953	23.5293024432	239.5841826726	526.5485544581	430.816878629	733.7325511297	718.5787117121	539.9278692058	1028.260407373	5912.4366552549	1937.0617777821	363.4714772725	469.3052686313	207.5385308646	246.5005473605	1392.8092638125	562.0444452055	595.7565284671	904.2182618381	301.0329768542	636.4177945177	910.4423686361	489.3366362113	1588.8474183246	657.168362797	958.9024010439	1365.4847055662	1599.498539882	311.1569071579	1034.479219584	411.6504549117	358.1201472565	512.7733572965	197.9729098447	406.3461858427	231.6104302289	560.8515436117	518.3300182876	618.0445725735	346.8050434703	134.9277837877	2967.5268412652	3313.5078098271	555.1287184277	1477.5164758547	1006.0405408899	1376.6155305418	1457.7468561616	942.7333957403	968.2193984768	1191.4166807465	862.7703843492	812.0116221603	2349.7769220744	3551.8692460136	374.8076230983	2177.4162211101	0	1853.1242485766	1555.4077320221	1186.2384217044	616.3678201959	248.1901497224	251.6069409662	904.7025887557	537.6045590301	470.5858892887	948.4944898915	95.3344017519	643.1987818217	815.2078991675	1545.3240928998	287.9737261075	772.9014262352	790.9472068409	54.0383211892	237.5012598652	248.4977303599	236.6161606445	271.2854230642	297.9033196958	468.8748385967	151.2170645857	419.393677997	343.5154993069	219.9048925387	787.179269379	872.2338255941	126.8232359014	1273.86875149	1128.1952343369	76.8516556357	417.2955411745	7149.8579249527	935.5195194633	828.3086526366	681.5425204632	1395.212152877	998.3923443155	1780.0551548703	1354.0745167357	858.7561450891	1080.9634632919	2051.9003319164	3475.0971735525	102.7591668609	1673.2382398597	1073.9435457895	728.339499571	879.824262783	772.062338847	1319.4783349221	2507.7412151928	782.7237868219	1118.0437327033	711.9660945399	791.7280115212	2111.0106872981	875.4805944037	1302.7431696075	341.0886981007	567.1798229018	2622.3511374368	516.9263939496	557.2133136201	564.5263359802	343.1921492637	229.0826556924	178.1167973498	693.9670162749	1258.1760459051	493.6209179331	418.8646570759	448.9742812309	483.7284485969	510.4266846597	120.5118901921	101.7971562096	177.3484579398	63.6287611727	458.105700328	946.3835851286	664.577912532	1821.1392624209	577.8202350087	1286.2931816843	835.5068679367
M00003	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1996.054823806	0	46.1637805668	0	0	0	0	44.9592207319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00004	k__Bacteria	228.8224976301	631.3809861257	718.4051273555	718.917910384	1141.7343026493	114.1176018894	380.6711946285	518.0880357466	0.1521233757	1228.180408698	2001.4322168757	867.8165449019	1257.1457478821	457.409075548	596.6833338883	203.2788515279	447.8732239273	1306.9616120306	177.3470291082	3058.0716209763	116.6200314103	2949.958220612	290.3478770182	1612.1583596593	0	4047.8961115516	3047.4811282462	592.1803204836	477.6606392419	482.9776079966	1012.8263497794	439.7708590175	318.5197192107	1108.4854830238	1073.1135762947	1970.8836990708	235.0316982718	662.1637460572	303.5845507389	639.5929290743	482.7901613549	309.7398907928	318.2905749069	348.5261273072	710.9904962253	875.7670959548	401.4872438021	940.5020807421	1468.1995811451	1854.8458641445	1581.2581563764	1501.8401052409	336.5075478323	754.6790763931	181.3038910767	475.8843730432	922.1102397247	595.7399082205	1446.9646254278	587.5260174486	2033.3550744876	890.2189310526	558.1360665421	532.7911371099	844.8245291439	555.1297478266	266.0525664077	830.1501878134	318.0605486157	473.0085897662	2617.1488332128	780.5785882595	1823.2724739987	1869.0387736298	323.617901812	182.1109271923	134.0907418497	371.057502556	398.4600095187	7926.7361117254	482.9351796566	568.2145924316	396.0571366626	184.7144576574	384.2914902592	647.7516509728	1025.2537668282	549.3588414806	148.568850276	2258.4900059859	621.9414402735	356.6979795896	0	273.3057145478	119.849385277	22.6641897454	1980.3333749798	2769.3951274486	577.0474000471	1123.4248843771	1169.7319911733	1740.3248074989	1994.3613864187	519.2511153861	220.6077848156	1380.1102314593	1962.0260643743	1133.7042527907	1169.3659707485	100.5091651162	230.6714463302	155.1148140649	191.0482306298	138.9953278333	171.9244634716	202.5352283819	1113.2780839796	136.9884278675	304.2524866954	383.2832829498	341.462309887	574.9024653425	873.1887841304	97.1286220358	1089.0290823881	777.8363741443	123.256668906	333.5143558778	2370.6032705649	1411.4691371881	908.5466319013	731.7233768928	772.0691602903	1067.7561908991	1024.4722884834	3240.4229294748	733.5937630686	881.2321066861	0.6462780489	3042.2089840147	1208.1322997278	2323.8894560472	1747.8900453915	1416.403940999	212.6711647615	1650.1094578956	2789.6944071581	1632.2920874778	1095.6676396502	1238.4553233794	1336.1581153207	1042.0465211594	615.3946727075	1348.9477787147	1018.5424934695	826.1137451756	188.2220993786	151.3967343407	373.093444641	2269.8531154528	811.3423994207	657.316005129	373.9642690867	270.2870032984	534.3169915934	490.3151482341	376.4249938069	312.8851640219	375.5869187164	356.9545269525	221.9380524009	2577.1650826126	1948.6094377576	69.8705532073	49.5286956942	217.6088274931	951.8103048721	1767.7132023372	168.1938708305	870.753105444	276.239661852	777.3232203105
M00004	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1506891692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215.3914045829	0	40.2445147633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6981932313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00005	k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7593287854	40.2228892439	0	0	0	0	0	0	0
